,Unnamed: 0,RODADA,MANDANTE,GOLS_MANDANTE,VISITANTE,GOLS_VISITANTE,ANO,RESULTADO,RESULTADO_PREDITO
247,263,36,Palmeiras,1.0,Botafogo,0.0,2016,,Empate
248,264,7,Palmeiras,1.0,Corinthians,0.0,2016,,Vitória_Mandante
249,285,34,Palmeiras,1.0,Internacional,0.0,2016,,Empate
250,315,37,Palmeiras,1.0,Chapecoense,0.0,2016,,Vitória_Mandante
251,266,3,Palmeiras,2.0,Fluminense,0.0,2016,,Vitória_Mandante
252,327,10,Palmeiras,2.0,América-MG,0.0,2016,,Vitória_Mandante
253,293,1,Palmeiras,4.0,Atlético-PR,0.0,2016,,Vitória_Mandante
254,316,12,Palmeiras,4.0,Figueirense,0.0,2016,,Vitória_Mandante
255,282,16,Palmeiras,0.0,Atlético-MG,1.0,2016,,Vitória_Mandante
256,262,25,Palmeiras,1.0,Flamengo,1.0,2016,,Vitória_Visitante
257,277,14,Palmeiras,1.0,Santos,1.0,2016,,Vitória_Mandante
258,276,23,Palmeiras,2.0,São Paulo,1.0,2016,,Vitória_Mandante
259,287,19,Palmeiras,2.0,Vitória,1.0,2016,,Vitória_Mandante
260,292,32,Palmeiras,2.0,Sport,1.0,2016,,Vitória_Mandante
261,294,27,Palmeiras,2.0,Coritiba,1.0,2016,,Vitória_Mandante
262,344,9,Palmeiras,3.0,Santa Cruz,1.0,2016,,Vitória_Mandante
263,303,21,Palmeiras,2.0,Ponte Preta,2.0,2016,,Vitória_Mandante
264,284,5,Palmeiras,4.0,Grêmio,3.0,2016,,Vitória_Mandante
265,266,36,Ponte Preta,1.0,Fluminense,0.0,2016,,Vitória_Mandante
266,276,13,Ponte Preta,1.0,São Paulo,0.0,2016,,Vitória_Mandante
267,263,18,Ponte Preta,2.0,Botafogo,0.0,2016,,Vitória_Mandante
268,264,22,Ponte Preta,2.0,Corinthians,0.0,2016,,Vitória_Mandante
269,287,30,Ponte Preta,2.0,Vitória,0.0,2016,,Vitória_Mandante
270,294,38,Ponte Preta,2.0,Coritiba,0.0,2016,,Empate
271,316,20,Ponte Preta,2.0,Figueirense,0.0,2016,,Vitória_Mandante
272,284,25,Ponte Preta,3.0,Grêmio,0.0,2016,,Vitória_Mandante
273,344,31,Ponte Preta,3.0,Santa Cruz,0.0,2016,,Vitória_Mandante
274,327,24,Ponte Preta,1.0,América-MG,1.0,2016,,Vitória_Mandante
275,275,2,Ponte Preta,2.0,Palmeiras,1.0,2016,,Vitória_Mandante
276,292,14,Ponte Preta,2.0,Sport,1.0,2016,,Vitória_Mandante
277,315,7,Ponte Preta,2.0,Chapecoense,1.0,2016,,Vitória_Mandante
278,262,4,Ponte Preta,1.0,Flamengo,2.0,2016,,Vitória_Mandante
279,277,34,Ponte Preta,1.0,Santos,2.0,2016,,Empate
280,282,28,Ponte Preta,1.0,Atlético-MG,2.0,2016,,Empate
281,285,16,Ponte Preta,2.0,Internacional,2.0,2016,,Vitória_Mandante
282,293,8,Ponte Preta,3.0,Atlético-PR,2.0,2016,,Vitória_Mandante
283,283,10,Ponte Preta,0.0,Cruzeiro,4.0,2016,,Vitória_Visitante
284,285,14,Santa Cruz,1.0,Internacional,0.0,2016,,Vitória_Mandante
285,293,25,Santa Cruz,1.0,Atlético-PR,0.0,2016,,Vitória_Mandante
286,316,8,Santa Cruz,1.0,Figueirense,0.0,2016,,Vitória_Mandante
287,327,34,Santa Cruz,1.0,América-MG,0.0,2016,,Vitória_Mandante
288,262,10,Santa Cruz,0.0,Flamengo,1.0,2016,,Vitória_Visitante
289,263,32,Santa Cruz,0.0,Botafogo,1.0,2016,,Empate
290,266,21,Santa Cruz,0.0,Fluminense,1.0,2016,,Vitória_Mandante
291,292,5,Santa Cruz,0.0,Sport,1.0,2016,,Vitória_Mandante
292,294,16,Santa Cruz,0.0,Coritiba,1.0,2016,,Vitória_Visitante
293,283,3,Santa Cruz,4.0,Cruzeiro,1.0,2016,,Vitória_Mandante
294,287,1,Santa Cruz,4.0,Vitória,1.0,2016,,Vitória_Mandante
