,Unnamed: 0,RODADA,GOLS_MANDANTE,GOLS_VISITANTE,ANO,RESULTADO_PREDITO,RESULTADO
210,344,18,0.0,0.0,2016,Empate,Empate
211,262,2,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
212,276,16,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
213,293,30,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
214,303,6,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
215,315,27,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
216,283,9,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
217,294,4,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
218,264,20,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
219,327,36,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
220,263,38,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
221,266,26,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
222,282,22,1.0,1.0,2016,Empate,Empate
223,316,14,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
224,287,10,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
225,277,12,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
226,292,34,0.0,3.0,2016,Vitória_Visitante,Vitória_Visitante
227,315,1,0.0,0.0,2016,Empate,Empate
228,283,37,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
229,292,3,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
230,293,5,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
231,294,29,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
232,316,28,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
233,282,8,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
234,264,17,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
235,275,15,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
236,284,13,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
237,287,25,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
238,276,21,1.0,1.0,2016,Empate,Empate
239,303,35,1.0,1.0,2016,Empate,Empate
240,344,33,1.0,1.0,2016,Empate,Empate
241,262,31,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
242,277,23,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
243,327,7,3.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
244,266,19,2.0,2.0,2016,Empate,Empate
245,263,11,2.0,3.0,2016,Vitória_Visitante,Vitória_Visitante
246,283,30,0.0,0.0,2016,Empate,Empate
247,263,36,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
248,264,7,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
249,285,34,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
250,315,37,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
251,266,3,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
252,327,10,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
253,293,1,4.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
254,316,12,4.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
255,282,16,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
256,262,25,1.0,1.0,2016,Empate,Empate
257,277,14,1.0,1.0,2016,Empate,Empate
258,276,23,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
259,287,19,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
260,292,32,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
261,294,27,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
262,344,9,3.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
263,303,21,2.0,2.0,2016,Empate,Empate
264,284,5,4.0,3.0,2016,Vitória_Mandante,Vitória_Mandante
265,266,36,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
266,276,13,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
267,263,18,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
268,264,22,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
269,287,30,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
270,294,38,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
271,316,20,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
272,284,25,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
273,344,31,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
274,327,24,1.0,1.0,2016,Empate,Empate
275,275,2,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
276,292,14,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
277,315,7,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
278,262,4,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
279,277,34,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
280,282,28,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
281,285,16,2.0,2.0,2016,Empate,Empate
282,293,8,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
283,283,10,0.0,4.0,2016,Vitória_Visitante,Vitória_Visitante
284,285,14,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
285,293,25,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
286,316,8,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
287,327,34,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
288,262,10,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
289,263,32,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
290,266,21,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
291,292,5,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
292,294,16,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
293,283,3,4.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
294,287,1,4.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
295,284,37,5.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
296,277,7,0.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
297,276,19,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
298,315,23,2.0,2.0,2016,Empate,Empate
299,303,12,0.0,3.0,2016,Vitória_Visitante,Vitória_Visitante
300,275,28,2.0,3.0,2016,Vitória_Visitante,Vitória_Visitante
301,282,36,3.0,3.0,2016,Empate,Empate
302,264,30,2.0,4.0,2016,Vitória_Visitante,Vitória_Visitante
303,262,18,0.0,0.0,2016,Empate,Empate
304,275,33,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
305,327,38,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
306,283,17,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
307,292,8,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
308,293,28,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
309,263,6,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
310,276,11,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
311,282,20,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
312,315,13,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
313,285,4,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
314,316,22,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
315,284,31,1.0,1.0,2016,Empate,Empate
316,264,24,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
317,266,29,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
318,294,2,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
319,303,15,3.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
320,287,35,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
321,344,26,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
322,262,28,0.0,0.0,2016,Empate,Empate
323,292,10,0.0,0.0,2016,Empate,Empate
324,294,22,0.0,0.0,2016,Empate,Empate
325,275,4,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
326,283,25,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
327,287,8,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
328,303,32,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
329,327,14,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
330,264,34,4.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
331,344,38,5.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
332,263,20,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
333,277,30,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
334,284,35,1.0,1.0,2016,Empate,Empate
335,266,12,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
336,316,24,3.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
337,282,18,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
338,285,2,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
339,293,7,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
340,315,17,2.0,2.0,2016,Empate,Empate
341,262,20,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
342,277,27,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
343,287,31,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
344,303,33,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
345,293,17,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
346,316,38,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
347,283,35,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
348,294,26,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
349,263,2,1.0,1.0,2016,Empate,Empate
350,276,29,1.0,1.0,2016,Empate,Empate
351,285,22,1.0,1.0,2016,Empate,Empate
352,327,18,1.0,1.0,2016,Empate,Empate
353,266,9,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
354,315,11,5.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
355,264,4,0.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
356,284,15,4.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
357,275,13,1.0,3.0,2016,Vitória_Visitante,Vitória_Visitante
358,344,24,5.0,3.0,2016,Vitória_Mandante,Vitória_Mandante
359,282,6,4.0,4.0,2016,Empate,Empate
360,266,14,0.0,0.0,2016,Empate,Empate
361,285,6,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
362,276,27,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
363,316,36,4.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
364,263,26,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
365,283,32,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
366,284,29,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
367,282,4,1.0,1.0,2016,Empate,Empate
368,303,11,1.0,1.0,2016,Empate,Empate
369,327,22,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
370,294,18,3.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
371,262,24,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
372,275,38,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
373,315,9,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
374,344,20,2.0,2.0,2016,Empate,Empate
375,264,2,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
376,292,12,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
377,293,34,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
378,277,16,2.0,3.0,2016,Vitória_Visitante,Vitória_Visitante
